session_id,user_id,task,phase,t_ms,type,x,y,pressure,tiltX,tiltY,extra,json
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,28933,target_spawn,909,655,,,,,{"task":"tap_targets";"phase":"run";"type":"target_spawn";"t_ms":28933;"x":909;"y":655;"pressure":"";"tiltX":"";"tiltY":"";"radius":49.58688531384131;"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,29822,pointerdown,910,670.8333129882812,0.5,0,0,{},{"task":"tap_targets";"phase":"run";"type":"pointerdown";"t_ms":29822;"x":910;"y":670.8333129882812;"pressure":0.5;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,29822,tap_down,910,670.8333129882812,0.5,,,,{"task":"tap_targets";"phase":"run";"type":"tap_down";"t_ms":29822;"x":910;"y":670.8333129882812;"pressure":0.5;"tiltX":"";"tiltY":"";"pointerType":"touch";"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,29854,pointermove,910,671.6666870117188,0.5,0,0,{"velocity":0.026372595708248656;"dx":0;"dy":0.8333740234375;"dt":31.599999964237213},{"task":"tap_targets";"phase":"run";"type":"pointermove";"t_ms":29854;"x":910;"y":671.6666870117188;"pressure":0.5;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{"velocity":0.026372595708248656;"dx":0;"dy":0.8333740234375;"dt":31.599999964237213}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,29862,pointerup,910,671.6666870117188,0,0,0,{},{"task":"tap_targets";"phase":"run";"type":"pointerup";"t_ms":29862;"x":910;"y":671.6666870117188;"pressure":0;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,29863,tap_up,910,671.6666870117188,0,,,,{"task":"tap_targets";"phase":"run";"type":"tap_up";"t_ms":29863;"x":910;"y":671.6666870117188;"pressure":0;"tiltX":"";"tiltY":"";"duration_ms":40;"errorDistance":16;"hit":true;"pointerType":"touch";"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,30071,target_spawn,792,539,,,,,{"task":"tap_targets";"phase":"run";"type":"target_spawn";"t_ms":30071;"x":792;"y":539;"pressure":"";"tiltX":"";"tiltY":"";"radius":115.08709453520798;"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,30642,pointerdown,813.3333129882812,571.6666259765625,0.5,0,0,{},{"task":"tap_targets";"phase":"run";"type":"pointerdown";"t_ms":30642;"x":813.3333129882812;"y":571.6666259765625;"pressure":0.5;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,30642,tap_down,813.3333129882812,571.6666259765625,0.5,,,,{"task":"tap_targets";"phase":"run";"type":"tap_down";"t_ms":30642;"x":813.3333129882812;"y":571.6666259765625;"pressure":0.5;"tiltX":"";"tiltY":"";"pointerType":"touch";"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,30658,pointerup,813.3333129882812,572.5,0,0,0,{},{"task":"tap_targets";"phase":"run";"type":"pointerup";"t_ms":30658;"x":813.3333129882812;"y":572.5;"pressure":0;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,30658,tap_up,813.3333129882812,572.5,0,,,,{"task":"tap_targets";"phase":"run";"type":"tap_up";"t_ms":30658;"x":813.3333129882812;"y":572.5;"pressure":0;"tiltX":"";"tiltY":"";"duration_ms":16;"errorDistance":39;"hit":true;"pointerType":"touch";"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,30867,target_spawn,654,639,,,,,{"task":"tap_targets";"phase":"run";"type":"target_spawn";"t_ms":30867;"x":654;"y":639;"pressure":"";"tiltX":"";"tiltY":"";"radius":34.75193936144622;"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,31540,pointerdown,649.1666870117188,647.5,0.5,0,0,{},{"task":"tap_targets";"phase":"run";"type":"pointerdown";"t_ms":31540;"x":649.1666870117188;"y":647.5;"pressure":0.5;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,31540,tap_down,649.1666870117188,647.5,0.5,,,,{"task":"tap_targets";"phase":"run";"type":"tap_down";"t_ms":31540;"x":649.1666870117188;"y":647.5;"pressure":0.5;"tiltX":"";"tiltY":"";"pointerType":"touch";"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,31588,pointerup,649.1666870117188,647.5,0,0,0,{},{"task":"tap_targets";"phase":"run";"type":"pointerup";"t_ms":31588;"x":649.1666870117188;"y":647.5;"pressure":0;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,31588,tap_up,649.1666870117188,647.5,0,,,,{"task":"tap_targets";"phase":"run";"type":"tap_up";"t_ms":31588;"x":649.1666870117188;"y":647.5;"pressure":0;"tiltX":"";"tiltY":"";"duration_ms":47;"errorDistance":10;"hit":true;"pointerType":"touch";"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,31801,target_spawn,799,710,,,,,{"task":"tap_targets";"phase":"run";"type":"target_spawn";"t_ms":31801;"x":799;"y":710;"pressure":"";"tiltX":"";"tiltY":"";"radius":110.90197446070147;"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,32311,pointerdown,780.8333129882812,693.3333129882812,0.5,0,0,{},{"task":"tap_targets";"phase":"run";"type":"pointerdown";"t_ms":32311;"x":780.8333129882812;"y":693.3333129882812;"pressure":0.5;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,32311,tap_down,780.8333129882812,693.3333129882812,0.5,,,,{"task":"tap_targets";"phase":"run";"type":"tap_down";"t_ms":32311;"x":780.8333129882812;"y":693.3333129882812;"pressure":0.5;"tiltX":"";"tiltY":"";"pointerType":"touch";"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,32332,pointermove,780.8333129882812,694.1666870117188,0.5,0,0,{"velocity":0.0398743551201666;"dx":0;"dy":0.8333740234375;"dt":20.900000035762787},{"task":"tap_targets";"phase":"run";"type":"pointermove";"t_ms":32332;"x":780.8333129882812;"y":694.1666870117188;"pressure":0.5;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{"velocity":0.0398743551201666;"dx":0;"dy":0.8333740234375;"dt":20.900000035762787}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,32349,pointerup,780.8333129882812,694.1666870117188,0,0,0,{},{"task":"tap_targets";"phase":"run";"type":"pointerup";"t_ms":32349;"x":780.8333129882812;"y":694.1666870117188;"pressure":0;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,32350,tap_up,780.8333129882812,694.1666870117188,0,,,,{"task":"tap_targets";"phase":"run";"type":"tap_up";"t_ms":32350;"x":780.8333129882812;"y":694.1666870117188;"pressure":0;"tiltX":"";"tiltY":"";"duration_ms":38;"errorDistance":25;"hit":true;"pointerType":"touch";"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,32563,target_spawn,807,344,,,,,{"task":"tap_targets";"phase":"run";"type":"target_spawn";"t_ms":32563;"x":807;"y":344;"pressure":"";"tiltX":"";"tiltY":"";"radius":112.33817310358681;"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,33391,pointerdown,815,374.1666564941406,0.5,0,0,{},{"task":"tap_targets";"phase":"run";"type":"pointerdown";"t_ms":33391;"x":815;"y":374.1666564941406;"pressure":0.5;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,33391,tap_down,815,374.1666564941406,0.5,,,,{"task":"tap_targets";"phase":"run";"type":"tap_down";"t_ms":33391;"x":815;"y":374.1666564941406;"pressure":0.5;"tiltX":"";"tiltY":"";"pointerType":"touch";"extra":null}
