session_id,user_id,started_at_iso,ended_at_iso,device_w,device_h,dpr,tasks_completed,total_events
s_mhwdz1sp,u_mhwdz1sp_vf3y,2025-11-12T19:21:37.756Z,2025-11-12T19:22:58.360Z,1590,742,1.2000000476837158,1,409
s_mhwdz1sp,u_mhwdz1sp_vf3y,2025-11-12T19:21:37.756Z,2025-11-12T19:22:58.362Z,1590,742,1.2000000476837158,1,409
